Ranking;Pais;Director;Federacion;Confederacion;GolesAFavor;GolesEnContra;PartidosGanados;PartidosEmpatados;PartidosPerdidos
1;France;Didier Deschamps;French Football Federation;UEFA;25;5;11;5;0
2;Spain;Luis de la Fuente;Royal Spanish Football Federation;UEFA;24;5;10;5;1
3;Argentina;Lionel Scaloni;Argentina Football Association;CONMEBOL;27;8;13;1;1
4;England;Thomas Tuchel;The Football Association;UEFA;21;5;10;2;1
5;Portugal;Roberto Martinez;Portuguese Football Federation;UEFA;24;5;11;4;1
6;Brazil;Dorival Junior;Brazilian Football Confederation;CONMEBOL;22;7;12;3;1
7;Netherlands;Ronald Koeman;Royal Dutch Football Association;UEFA;22;5;9;5;0
8;Belgium;Rudi Garcia;Royal Belgian Football Association;UEFA;21;5;10;3;0
9;Germany;Julian Nagelsmann;German Football Association;UEFA;21;5;11;2;0
10;Italy;Luciano Spalletti;Italian Football Federation;UEFA;22;5;8;4;2
11;Morocco;Walid Regragui;Royal Moroccan Football Federation;CAF;18;2;5;1;5
12;Uruguay;Marcelo Bielsa;Uruguayan Football Association;CONMEBOL;18;7;10;3;2
13;Colombia;Nestor Lorenzo;Colombian Football Federation;CONMEBOL;19;4;6;5;7
14;Croatia;Zlatko Dalic;Croatian Football Federation;UEFA;21;5;10;3;1
15;Mexico;Javier Aguirre;Mexican Football Federation;Concacaf;15;8;5;4;3
16;United States;Mauricio Pochettino;U.S. Soccer Federation;Concacaf;16;9;9;1;2
17;Japan;Hajime Moriyasu;Japan Football Association;AFC;24;2;7;0;3
18;Iran;Amir Ghalenoei;Football Federation Islamic Republic of Iran;AFC;16;8;7;2;1
19;Senegal;Pape Thiaw;Senegalese Football Federation;CAF;11;2;6;1;3
20;Denmark;Brian Riemer;Danish Football Association;UEFA;18;6;10;2;1
22;Austria;Ralf Rangnick;Austrian Football Association;UEFA;16;6;5;2;5
23;Korea Republic;Hong Myung-bo;Korea Football Association;AFC;14;7;7;2;1
25;Australia;Tony Popovic;Football Australia;AFC;14;6;5;1;4
26;Turkey;Vincenzo Montella;Turkish Football Federation;UEFA;14;7;6;2;4
27;Serbia;Dragan Stojkovic;Football Association of Serbia;UEFA;14;7;6;1;5
28;Sweden;Jon Dahl Tomasson;Swedish Football Association;UEFA;14;7;7;1;4
29;Egypt;Hossam Hassan;Egyptian Football Association;CAF;18;2;5;1;3
30;Canada;Jesse Marsch;Canada Soccer;Concacaf;14;9;6;4;2
31;Paraguay;Gustavo Alfaro;Paraguayan Football Association;CONMEBOL;14;9;8;5;2
32;Panama;Thomas Christiansen;Panamanian Football Federation;Concacaf;11;9;6;3;3
34;Nigeria;Eric Chelle;Nigeria Football Federation;CAF;10;6;4;2;5
36;Costa Rica;Miguel Herrera;Costa Rican Football Federation;Concacaf;10;9;4;3;4
37;Tunisia;Sabri Lamouchi;Tunisian Football Federation;CAF;9;0;4;2;3
41;Czech Republic;Ivan Hasek;Football Association of the Czech Republic;UEFA;11;8;5;1;5
43;Qatar;Julen Lopetegui;Qatar Football Association;AFC;17;8;8;1;1
45;Cameroon;Marc Brys;Cameroonian Football Federation;CAF;16;4;4;1;4
46;Scotland;Steve Clarke;Scottish Football Association;UEFA;11;8;5;1;5
47;Uzbekistan;Timur Kapadze;Uzbekistan Football Association;AFC;11;7;3;3;3
50;South Africa;Hugo Broos;South African Football Association;CAF;10;5;4;2;3
51;Saudi Arabia;Herve Renard;Saudi Arabian Football Federation;AFC;7;6;5;1;4
52;Bosnia and Herzegovina;Sergej Barbarez;Football Association of Bosnia and Herzegovina;UEFA;11;8;4;2;5
53;Iraq;Jesus Casas;Iraq Football Association;AFC;7;7;2;1;6
54;Jordan;Jamal Sellami;Jordan Football Association;AFC;16;7;6;3;1
55;Ghana;Otto Addo;Ghana Football Association;CAF;14;7;5;1;3
56;DR Congo;Sebastien Desabre;Congolese Association Football Federation;CAF;9;6;4;2;5
57;Haiti;Sebastien Migne;Haitian Football Federation;Concacaf;10;9;4;3;4
58;New Zealand;Darren Bazeley;New Zealand Football;OFC;7;1;2;0;3
59;Cabo Verde;Bubista;Cape Verdean Football Federation;CAF;10;1;5;1;3
